Baby,Time,Start side,Left duration,Right Duration,Total,Note
"Baby One","10/01/2018 11:50","Left","5 min","3 min",,"18cc
"
"Baby One","10/01/2018 14:40","Right","5 min","5 min",,"36cc "
"Baby One","10/01/2018 17:22","Left","5 min","5 min",,"22cc"
"Baby One","10/01/2018 20:17","Right",,"7 min",,""
"Baby One","10/01/2018 22:56","Left","8 min","8 min",,"
"
"Baby One","11/01/2018 01:47","Right","6 min","5 min",,""
"Baby One","11/01/2018 04:49","Right","5 min","4 min",,""
"Baby One","11/01/2018 06:28","Right","2 min","3 min",,""
"Baby One","11/01/2018 07:56","Right","4 min","4 min",,""
"Baby One","11/01/2018 11:48","Right","6 min","6 min",,""
"Baby One","11/01/2018 14:59","Right","6 min","8 min",,""
"Baby One","11/01/2018 17:29","Left","5 min","9 min",,""
"Baby One","11/01/2018 20:33","Left","6 min","5 min",,""
"Baby One","11/01/2018 23:10","Right","8 min","6 min",,""
"Baby One","12/01/2018 02:43","Left","5 min","8 min",,""
"Baby One","12/01/2018 05:07","Left","5 min","7 min",,""
"Baby One","12/01/2018 07:15","Right","5 min","5 min",,""
"Baby One","12/01/2018 09:57","Left","6 min","5 min",,""
"Baby One","12/01/2018 12:47","Right","8 min","5 min",,""
"Baby One","12/01/2018 14:00","Right","5 min","4 min",,""
"Baby One","12/01/2018 16:22","Right","4 min","7 min",,""
"Baby One","12/01/2018 19:58","Left","8 min","6 min",,""
"Baby One","12/01/2018 21:41","Right","5 min","5 min",,""
"Baby One","12/01/2018 22:43","Left","8 min",,,""
"Baby One","13/01/2018 00:00","Right","4 min","3 min",,""
"Baby One","13/01/2018 01:05","Left","5 min","8 min",,""
"Baby One","13/01/2018 04:08","Right","5 min","5 min",,""
"Baby One","13/01/2018 07:00","Left","7 min","7 min",,""
"Baby One","13/01/2018 10:15","Right","6 min","5 min",,""
"Baby One","13/01/2018 12:58","Right","6 min","5 min",,""
"Baby One","13/01/2018 15:59","Right","8 min","6 min",,""
"Baby One","13/01/2018 19:13","Left","9 min","13 min",,""
"Baby One","13/01/2018 21:15","Left","5 min","7 min",,""
"Baby One","13/01/2018 22:22","Left","6 min","1 min",,""
"Baby One","14/01/2018 00:31","Right","7 min","7 min",,""
"Baby One","14/01/2018 03:11","Left","6 min","9 min",,""
"Baby One","14/01/2018 04:41","Left","4 min","3 min",,""
"Baby One","14/01/2018 06:24","Right",,"2 min",,""
"Baby One","14/01/2018 08:34","Right","9 min","5 min",,""
"Baby One","14/01/2018 12:20","Left","6 min","12 min",,""
"Baby One","14/01/2018 16:20","Left","13 min","7 min",,""
"Baby One","14/01/2018 17:36","Right","1 min","5 min",,""
"Baby One","14/01/2018 20:20","Left","7 min","9 min",,""
"Baby One","14/01/2018 23:39","Right","10 min","5 min",,""
"Baby One","15/01/2018 03:13","Right","8 min","6 min",,""
"Baby One","15/01/2018 05:30","Left","6 min","9 min",,""
"Baby One","15/01/2018 07:48","Right","6 min","5 min",,""
"Baby One","15/01/2018 10:42","Left","9 min","7 min",,""
"Baby One","15/01/2018 14:25","Right","5 min","7 min",,""
"Baby One","15/01/2018 16:21","Left","6 min","6 min",,""
"Baby One","15/01/2018 17:34","Right","6 min","7 min",,""
"Baby One","15/01/2018 19:02","Right","6 min","4 min",,""
"Baby One","15/01/2018 20:32","Right","3 min","6 min",,""
"Baby One","15/01/2018 22:07","Right","4 min","4 min",,""
"Baby One","15/01/2018 23:18","Left","9 min",,,""
"Baby One","15/01/2018 23:46","Right",,"6 min",,""
"Baby One","16/01/2018 01:14","Right","6 min","6 min",,""
"Baby One","16/01/2018 03:59","Right",,"6 min",,""
"Baby One","16/01/2018 06:43","Left","7 min",,,""
"Baby One","16/01/2018 11:07","Left","6 min","9 min",,""
"Baby One","16/01/2018 14:09","Right","3 min","4 min",,""
"Baby One","16/01/2018 15:32","Left","6 min","4 min",,""
"Baby One","16/01/2018 19:04","Right","6 min","10 min",,""
"Baby One","16/01/2018 20:30","Left","5 min",,,""
"Baby One","16/01/2018 23:37","Right","2 min","6 min",,""
"Baby One","17/01/2018 02:51","Left","7 min","13 min",,""
"Baby One","17/01/2018 06:15","Right","5 min","6 min",,""
"Baby One","17/01/2018 09:56","Left","5 min","6 min",,""
"Baby One","17/01/2018 12:09","Right","3 min","6 min",,""
"Baby One","17/01/2018 12:54","Left","6 min",,,""
"Baby One","17/01/2018 16:21","Left","4 min","6 min",,""
"Baby One","17/01/2018 18:19","Left","6 min",,,""
"Baby One","17/01/2018 20:33","Right","10 min","6 min",,""
"Baby One","17/01/2018 22:07","Right","5 min","7 min",,""
"Baby One","17/01/2018 23:22","Left","3 min",,,""
"Baby One","17/01/2018 23:53","Right",,"8 min",,""
"Baby One","18/01/2018 02:50","Left","7 min","6 min",,""
"Baby One","18/01/2018 05:21","Right","6 min","6 min",,""
"Baby One","18/01/2018 08:54","Right",,"6 min",,""
"Baby One","18/01/2018 10:07","Left","6 min",,,""
"Baby One","18/01/2018 12:03","Right",,"3 min",,""
"Baby One","18/01/2018 12:20","Left","6 min",,,""
"Baby One","18/01/2018 14:45","Right","9 min","6 min",,""
"Baby One","18/01/2018 18:06","Right","8 min","7 min",,""
"Baby One","18/01/2018 20:18","Right","7 min","7 min",,""
"Baby One","18/01/2018 22:02","Right","9 min","6 min",,""
"Baby One","18/01/2018 23:16","Right",,"2 min",,""
"Baby One","18/01/2018 23:20","Left","4 min",,,""
"Baby One","18/01/2018 23:36","Right",,"4 min",,""
"Baby One","18/01/2018 23:48","Right",,"5 min",,""
"Baby One","19/01/2018 02:40","Left","6 min","6 min",,""
"Baby One","19/01/2018 05:27","Right","4 min","6 min",,""
"Baby One","19/01/2018 08:01","Left","6 min",,,""
"Baby One","19/01/2018 10:23","Right","8 min","6 min",,""
"Baby One","19/01/2018 12:06","Right","5 min","3 min",,""
"Baby One","19/01/2018 15:09","Right","6 min","6 min",,""
"Baby One","19/01/2018 17:41","Left","9 min",,,""
"Baby One","19/01/2018 21:20","Right","4 min","8 min",,""
"Baby One","19/01/2018 22:56","Left","6 min","8 min",,""
"Baby One","20/01/2018 01:01","Left","6 min",,,""
"Baby One","20/01/2018 03:46","Right","8 min","6 min",,""
"Baby One","20/01/2018 06:45","Left","5 min","7 min",,""
"Baby One","20/01/2018 09:42","Right","7 min","6 min",,""
"Baby One","20/01/2018 12:16","Right","7 min","5 min",,""
"Baby One","20/01/2018 14:41","Left","4 min","6 min",,""
"Baby One","20/01/2018 17:47","Left","13 min",,,""
"Baby One","20/01/2018 19:42","Right",,"8 min",,""
"Baby One","20/01/2018 21:18","Left","5 min","2 min",,""
"Baby One","20/01/2018 22:54","Right","11 min","5 min",,""
"Baby One","21/01/2018 02:49","Left","5 min","8 min",,""
"Baby One","21/01/2018 05:48","Right","9 min","6 min",,""
"Baby One","21/01/2018 08:38","Left","6 min","9 min",,""
"Baby One","21/01/2018 11:44","Right",,"6 min",,""
"Baby One","21/01/2018 13:33","Left","9 min",,,""
"Baby One","21/01/2018 15:26","Right","7 min","5 min",,""
"Baby One","21/01/2018 16:51","Left","5 min","4 min",,""
"Baby One","21/01/2018 19:58","Right","2 min","6 min",,""
"Baby One","21/01/2018 20:57","Left","6 min","6 min",,""
"Baby One","21/01/2018 23:23","Right","8 min","6 min",,""
"Baby One","22/01/2018 02:27","Left","4 min","7 min",,""
"Baby One","22/01/2018 03:02","Left","4 min",,,""
"Baby One","22/01/2018 06:01","Right","6 min","8 min",,""
"Baby One","22/01/2018 09:04","Right","3 min","7 min",,""
"Baby One","22/01/2018 11:31","Left","6 min","6 min",,""
"Baby One","22/01/2018 12:43","Right","10 min","7 min",,""
"Baby One","22/01/2018 15:54","Left","7 min","14 min",,""
"Baby One","22/01/2018 18:52","Right","8 min","6 min",,""
